N°AUTO;NOM ETABLISSEMENT;ECRANS;FAUTEUILS;CODE COMMUNE;COMMUNE;GENRE;ART ET ESSAI;ECRANS 3D
94997;MEGA CGR;9;1 601;51108;Châlons-en-Champagne;FIXE;NON;OUI
95006;LA COMETE;1;153;51108;Châlons-en-Champagne;FIXE;OUI;NON
95562;MEGARAMA;7;1 314;60139;Chambly;FIXE;NON;OUI
96950;SALLE YVES RENAULT;1;242;37050;Chambray-lès-Tours;FIXE;NON;NON
99031;ELYSEE;4;520;60141;Chantilly;FIXE;OUI;OUI
99631;JACQUES DEMY;1;189;44029;Divatte-sur-Loire;FIXE;OUI;OUI
102246;METROPOLIS;10;2 008;8105;Charleville-Mézières;FIXE;OUI;OUI
103166;CINEPARADIS;11;2 025;28085;Chartres;FIXE;OUI;OUI
103201;CINE ESPERANCE;1;249;35066;Chartres-de-Bretagne;FIXE;NON;OUI
104032;ETOILE;1;221;35068;Châteaubourg;FIXE;OUI;OUI
104051;ATLANTIC CINE;4;748;44036;Châteaubriant;FIXE;OUI;OUI
104164;ES RECOLLETS;1;127;72071;Montval-sur-Loir;FIXE;OUI;NON
104181;LE DUNOIS;3;412;28088;Châteaudun;FIXE;OUI;OUI
104282;PARADISIO;1;182;35069;Châteaugiron;FIXE;OUI;OUI
104301;PALACE;3;445;53062;Château-Gontier;FIXE;OUI;OUI
104391;AGORA;1;194;29026;Châteaulin;FIXE;OUI;OUI
104801;VOX;1;64;45083;Château-Renard;FIXE;OUI;NON
104851;LE BALZAC;1;216;37063;Château-Renault;FIXE;OUI;OUI
104863;APOLLO;1;328;36044;Châteauroux;FIXE;OUI;NON
104881;CGR CHATEAUROUX;8;1 078;36044;Châteauroux;FIXE;NON;OUI
104994;CINEMA THEATRE;4;576;2168;Château-Thierry;FIXE;NON;OUI
105931;LE VENDELAIS;1;199;35072;Châtillon-en-Vendelais;FIXE;OUI;NON
106291;LUX;1;193;36046;La Châtre;FIXE;OUI;NON
107043;A L'AFFICHE;8;1 134;52121;Chaumont;FIXE;OUI;OUI
107251;LUMIERE;3;380;2173;Chauny;FIXE;NON;OUI
108932;CLUB;1;198;49092;Chemillé-en-Anjou;FIXE;OUI;NON
109792;CGR ODEON;5;1 025;50129;Cherbourg-en-Cotentin;FIXE;OUI;OUI
109836;MEGA CGR;12;2 536;50129;Cherbourg-en-Cotentin;FIXE;NON;OUI
111621;LE RABELAIS;1;350;37072;Chinon;FIXE;OUI;OUI
112095;CINEMOVIDA;10;1 443;49099;Cholet;FIXE;OUI;OUI
114523;SALLE LEBRUN;1;110;60157;Clermont;FIXE;OUI;OUI
115334;LE CONNETABLE;2;432;44043;Clisson;FIXE;OUI;OUI
117742;CHATEAUBRIAND;2;296;35085;Combourg;FIXE;OUI;OUI
118495;CINEVILLE;5;801;29039;Concarneau;FIXE;OUI;OUI
119054;ROYAL;1;381;14174;Condé-en-Normandie;FIXE;OUI;OUI
